,Unnamed: 0,id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified,clean_text,topic_id,sentiment,confidence
0,74.0,1.5872265454452736e+18,https://twitter.com/ChrisVanHollen/status/1587226545445273602,Mon Oct 31 23:34:32 +0000 2022,2022-10-31T23:34:32+00:00,ChrisVanHollen,"Great to celebrate the launch of Montgomery County's smart bus depot. A renewable energy microgrid will now power its growing fleet of electric buses, purchased in part with federal $$. Projects like this are key to meeting our climate goals. https://t.co/NeLzAlcJiC",original,,,https://pbs.twimg.com/media/Fgbz8QDXkAEi6wI.jpg https://pbs.twimg.com/media/Fgbyn2mWYAc5U3K.jpg https://pbs.twimg.com/media/FgbypuCXkAUYme3.jpg https://pbs.twimg.com/media/FgbypuLXkAAfBOk.jpg,,37.0,,,,en,,0.0,7.0,,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",18137749.0,Mon Dec 15 15:00:29 +0000 2008,False,U.S. Senator for Maryland,622.0,196231.0,963.0,2566.0,"Maryland, USA",Senator Chris Van Hollen,7425.0,,https://www.vanhollen.senate.gov/,True,Great to celebrate the launch of Montgomery Countys smart bus depot A renewable energy microgrid will now power its growing fleet of electric buses purchased in part with federal  Projects like this are key to meeting our climate goals ,615.0,Positive,0.9447202086448669
1,676.0,1.5864594739204751e+18,https://twitter.com/PattyMurray/status/1586459473920475136,Sat Oct 29 20:46:28 +0000 2022,2022-10-29T20:46:28+00:00,PattyMurray,"The climate crisis is one of the most serious issues of our time. The Inflation Reduction Act makes the biggest investment in tackling climate change ever, and I’ll always keep fighting to protect our Earth.",original,,,,,546.0,,,,en,,,122.0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",293131808.0,Wed May 04 20:23:35 +0000 2011,False,"U.S. Senator, Washington state | @HELPCmteDems Chair | Assistant Democratic Leader | Working every day for WA families | she/her/hers",284.0,490825.0,2392.0,3921.0,WA & DC,Senator Patty Murray,23406.0,,http://murray.senate.gov/,True,The climate crisis is one of the most serious issues of our time The Inflation Reduction Act makes the biggest investment in tackling climate change ever and Ill always keep fighting to protect our Earth,26.0,Positive,0.7674030065536499
2,772.0,1.586416039038161e+18,https://twitter.com/RepValDemings/status/1586416039038160897,Sat Oct 29 17:53:52 +0000 2022,2022-10-29T17:53:52+00:00,RepValDemings,"Florida families cannot continue to have their health threatened by big corporations polluting their air and water.   I will continue to work to protect clean air and clean water, to combat climate change, grow green jobs, and build a better future for the next generation.",original,,,,,863.0,,,,en,,,318.0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",7.989730323626066e+17,Wed Nov 16 19:36:29 +0000 2016,False,U.S. Representative Florida's 10th Congressional District. Public Servant. Former Orlando Police Chief. Christian. Wife. Mother. Grandmother. Harley Enthusiast.,6002.0,458798.0,895.0,2205.0,"Washington, DC I Orlando, FL",Rep. Val Demings,14028.0,,http://demings.house.gov,True,Florida families cannot continue to have their health threatened by big corporations polluting their air and water   I will continue to work to protect clean air and clean water to combat climate change grow green jobs and build a better future for the next generation,26.0,Positive,0.705049991607666
4,1560.0,1.5727339288672584e+18,https://twitter.com/TammyDuckworth/status/1572733928867258375,Wed Sep 21 23:46:03 +0000 2022,2022-09-21T23:46:03+00:00,TammyDuckworth,"🚨🌎This is a BIG deal for our planet.  The Kigali Amendment will put us on a path to phase out the dangerous pollutants in our everyday appliances to help curb global warming and our climate crisis.  It’s a win for businesses, American competitiveness and future generations. https://t.co/CvBQBj6Hwv",quote,,,,https://twitter.com/DSenFloor/status/1572679769669652480,87.0,,,,en,,0.0,27.0,1.5726797696696525e+18,DSenFloor,729177876.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",328679423.0,Sun Jul 03 20:43:44 +0000 2011,False,Soldier. Senator. Mother.,114.0,87987.0,3234.0,1209.0,Illinois,Tammy Duckworth,4651.0,,http://tammyduckworth.com/,True, policecarlight  globeshowingAmericas This is a BIG deal for our planet  The Kigali Amendment will put us on a path to phase out the dangerous pollutants in our everyday appliances to help curb global warming and our climate crisis  Its a win for businesses American competitiveness and future generations ,26.0,Positive,0.8877546191215515
5,1606.0,1.5621831862134866e+18,https://twitter.com/TammyDuckworth/status/1562183186213486593,Tue Aug 23 21:01:10 +0000 2022,2022-08-23T21:01:10+00:00,TammyDuckworth,"Students like @isudems are the future of our state. Whether it’s tackling our climate crisis, relieving student debt or protecting our rights, I’m committed to being a voice for them in the Senate. https://t.co/g7ICzUvRGk",original,,,https://pbs.twimg.com/media/Fa39U_AXoAEUcm5.jpg,,31.0,,,,en,,0.0,11.0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",328679423.0,Sun Jul 03 20:43:44 +0000 2011,False,Soldier. Senator. Mother.,114.0,87987.0,3234.0,1209.0,Illinois,Tammy Duckworth,4651.0,,http://tammyduckworth.com/,True,Students like isudems are the future of our state Whether its tackling our climate crisis relieving student debt or protecting our rights Im committed to being a voice for them in the Senate ,26.0,Negative,0.9054843187332153
6,1672.0,1.542566429291053e+18,https://twitter.com/TammyDuckworth/status/1542566429291053056,Thu Jun 30 17:51:10 +0000 2022,2022-06-30T17:51:10+00:00,TammyDuckworth,"Let’s be clear: climate action cannot be delayed any further.  And yet, the Supreme Court’s decision today acts against reason, public health and all Americans’ right to breathe clean air and drink safe water.  It is an outrage—but I won’t stop working to protect our environment. https://t.co/MtbdDdgjQB",quote,,,,https://twitter.com/nprpolitics/status/1542510564475211779,84.0,,,,en,,0.0,27.0,1.5425105644752115e+18,nprpolitics,5741722.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",328679423.0,Sun Jul 03 20:43:44 +0000 2011,False,Soldier. Senator. Mother.,114.0,87987.0,3234.0,1209.0,Illinois,Tammy Duckworth,4651.0,,http://tammyduckworth.com/,True,Lets be clear climate action cannot be delayed any further  And yet the Supreme Courts decision today acts against reason public health and all Americans right to breathe clean air and drink safe water  It is an outragebut I wont stop working to protect our environment ,1353.0,Positive,0.6478680372238159
7,1765.0,1.5176367387678024e+18,https://twitter.com/TammyDuckworth/status/1517636738767802374,Fri Apr 22 22:49:29 +0000 2022,2022-04-22T22:49:29+00:00,TammyDuckworth,"Being able to drink clean, lead-free water and breathe unpolluted air is a right—not a privilege.  Three years ago, @CoryBooker, @TomCarperforDE and I launched the Senate's first-ever Environmental Justice Caucus to do more to make that right a reality for all.",original,,,,,79.0,,,,en,,,12.0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",328679423.0,Sun Jul 03 20:43:44 +0000 2011,False,Soldier. Senator. Mother.,114.0,87987.0,3234.0,1209.0,Illinois,Tammy Duckworth,4651.0,,http://tammyduckworth.com/,True,Being able to drink clean leadfree water and breathe unpolluted air is a rightnot a privilege  Three years ago CoryBooker TomCarperforDE and I launched the Senates firstever Environmental Justice Caucus to do more to make that right a reality for all,1353.0,Positive,0.9447108507156372
8,1766.0,1.517601019655598e+18,https://twitter.com/TammyDuckworth/status/1517601019655598080,Fri Apr 22 20:27:33 +0000 2022,2022-04-22T20:27:33+00:00,TammyDuckworth,"Happy Earth Day! Every year, this day should be a reminder of our responsibility to protect our planet, tackle the climate crisis and advance environmental justice for all.🌎 https://t.co/BIToQU4MvQ",original,,,,https://grist.org/equity/democrats-congress-environmental-justice-tammy-duckworth/,27.0,,,,en,,0.0,7.0,,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",328679423.0,Sun Jul 03 20:43:44 +0000 2011,False,Soldier. Senator. Mother.,114.0,87987.0,3234.0,1209.0,Illinois,Tammy Duckworth,4651.0,,http://tammyduckworth.com/,True,Happy Earth Day Every year this day should be a reminder of our responsibility to protect our planet tackle the climate crisis and advance environmental justice for all globeshowingAmericas  ,361.0,Positive,0.6717122197151184
9,1817.0,1.5020780901173207e+18,https://twitter.com/TammyDuckworth/status/1502078090117320706,Fri Mar 11 00:24:58 +0000 2022,2022-03-11T00:24:58+00:00,TammyDuckworth,"I helped introduce the bipartisan Home Front Energy Independence Act with @amyklobuchar which would ban Russian oil and expand the production of cleaner, more affordable renewable energy in the Midwest—driving down costs for consumers everywhere.",reply,,,,,232.0,TammyDuckworth,1.502078088154427e+18,328679423.0,en,,,50.0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",328679423.0,Sun Jul 03 20:43:44 +0000 2011,False,Soldier. Senator. Mother.,114.0,87987.0,3234.0,1209.0,Illinois,Tammy Duckworth,4651.0,,http://tammyduckworth.com/,True,I helped introduce the bipartisan Home Front Energy Independence Act with amyklobuchar which would ban Russian oil and expand the production of cleaner more affordable renewable energy in the Midwestdriving down costs for consumers everywhere,116.0,Positive,0.7580601572990417
10,1819.0,1.5019845469963018e+18,https://twitter.com/TammyDuckworth/status/1501984546996301829,Thu Mar 10 18:13:16 +0000 2022,2022-03-10T18:13:16+00:00,TammyDuckworth,"It's simple. Investing in American-made, affordable renewable energy will drive down our dependence on Russian oil, cut costs for working families and boost economic opportunity in the Midwest.",original,,,,,90.0,,,,en,,,17.0,,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",328679423.0,Sun Jul 03 20:43:44 +0000 2011,False,Soldier. Senator. Mother.,114.0,87987.0,3234.0,1209.0,Illinois,Tammy Duckworth,4651.0,,http://tammyduckworth.com/,True,Its simple Investing in Americanmade affordable renewable energy will drive down our dependence on Russian oil cut costs for working families and boost economic opportunity in the Midwest,123.0,Positive,0.5446704030036926
